DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,CZ,2019,14.09,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,DE,2019,13.36,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,DK,2019,13.79,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EA12,2019,15.40,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EA18,2019,15.50,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EA19,2019,15.54,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EE,2019,23.93,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EL,2019,33.64,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,ES,2019,21.76,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EU15,2019,15.39,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EU27_2007,2019,15.74,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EU27_2020,2019,15.70,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,EU28,2019,15.73,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,FI,2019,17.42,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,FR,2019,9.46,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,HR,2019,11.46,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,HU,2019,27.79,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,IE,2019,11.83,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,IS,2019,15.55,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,IT,2019,23.46,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,LI,2019,21.60,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,LT,2019,32.27,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,LU,2019,9.59,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,LV,2019,35.11,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,MT,2019,34.13,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,NL,2019,10.57,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,NO,2019,13.92,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,PL,2019,20.09,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,PT,2019,30.61,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PC_CHE,HF3,RO,2019,18.88,
